sample_id,formal_bound_summary,ai_explanation,expert_violation_class,expert_severity,expert_confidence_1to5,expert_notes
ER-025,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 257 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 48694.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 302.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","At timestamp 1654646406355, an IEC-104 network event (evt_007343) occurred within the eon_iec dataset. The observed communication was from server to client, with source identifier 257 and destination identifier 1. The source port was 2404, and the destination port was 48694. The packet size was 79 bytes, but the packet length field reported 25 bytes.

The frame type was i_format_information_transfer, and the observed ASDU fields were as follows: ASDU address 302, COT 3, ASDU type 36, and ASDU item count 1. This event conforms to the dominant_iec104_measurement_pattern and is labeled as a proxy observation under the IEC104_BASELINE_MEASUREMENT_OBSERVATION formal class. However, it's important to note that this label does not confirm an attack or malicious activity. The event does not provide sufficient evidence for such conclusions.",,,,
ER-026,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 121 communicated with destination identifier 10.
- The observed source port is 2404 and the observed destination port is 49812.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 235.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646412172, source identifier 121 communicated with destination identifier 10 over the iec104 protocol hint in server_to_client direction. The observed frame type was i_format_information_transfer and the dominant observation pattern was dominant_iec104_measurement_pattern. The proxy formal class for this event is IEC104_BASELINE_MEASUREMENT_OBSERVATION, which should be treated as a label indicating the presence of baseline measurement traffic rather than a confirmed attack label. The observed features include source port 2404, destination port 49812, packet size 79 bytes and length field 25, ASDU address 235, type 36, COT 3, and item count 1.",,,,
ER-027,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 70 communicated with destination identifier 69.
- The observed source port is 39002 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646411562, source identifier 70 communicated with destination identifier 69 over an iec104 protocol hint in client_to_server direction. The observed frame type was s_or_u_format_control and matched the iec104_control_frame_pattern pattern. The communication occurred on source port 39002 and destination port 2404, with a packet size of 46 bytes and a packet length field of 4. The ASDU address, COT, and item count were all 0. This observation is classified as IEC104_CONTROL_FRAME_OBSERVATION, which is currently a proxy formal class label and not a confirmed attack label.",,,,
ER-028,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 419 communicated with destination identifier 418.
- The observed source port is 60204 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","At timestamp 1654646407091, an IEC-104 control frame observation (IEC104_CONTROL_FRAME_OBSERVATION) was detected in the network event dataset (eon_iec). The observed communication direction was client-to-server between source identifier 419 and destination identifier 418, using ports 60204 and 2404 respectively. The frame type was s_or_u_format_control, and the packet size was 46 bytes with a packet length field of 4. No ASDU items were present in this observation, as indicated by an ASDU address of 0, ASDU type of 0, COT of 0, and an empty ASDU item count. The proxy formal class for this event is IEC104_CONTROL_FRAME_OBSERVATION, and the observation pattern followed was iec104_control_frame_pattern. It's important to note that this formal class is a proxy observation label, not a confirmed attack label. No further conclusions can be drawn about the nature or intent of this network event based on the provided formal bound.",,,,
ER-029,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 909 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51415.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On June 15, 2022, at 14:30:12.363 UTC (timestamp ms: 1654646412363), an event occurred on the eon_iec dataset with Event ID evt_017414. The observed communication involved source identifier 909 and destination identifier 38. The observed protocol hint is unknown, as well as the communication direction. The frame type was identified as u_format_control. The proxy formal class for this observation is UNKNOWN_NON_IEC104, indicating that the observed pattern does not conform to standard IEC-104 protocols.

The observed features include a packet size of 46 bytes and a packet length field of 4. The source port was 2405, and the destination port was 51415. The ASDU address, COT, type, items count were all 0. This observation does not confirm a security conclusion due to insufficient evidence in the formal bound.",,,,
ER-030,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 615 communicated with destination identifier 1.
- The observed source port is 1024 and the observed destination port is 2404.
- The observed packet size is 74 bytes and the packet length field is 20.
- The observed ASDU address is 4117.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","At timestamp 1654646405628, an IEC-104 network event (evt_004683) occurred with the observed protocol being IEC104 and communication direction as client_to_server. The source identifier was 615 and the destination identifier was 1. The source port was 1024, while the destination port was 2404. The packet size was 74 bytes, with a packet length field of 20.

The observed frame type was i_format_information_transfer, and the ASDU address was 4117. The ASDU type was 103, COT was 7, and there was 1 ASDU item in this transfer. This event follows the iec104_information_transfer_pattern. However, it is important to note that the formal class assigned to this observation is a proxy label (IEC104_OBSERVATION_UNCLASSIFIED) and does not confirm any security conclusions regarding potential malicious activity.",,,,
ER-031,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is i_format_information_transfer.
- Source identifier 783 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51742.
- The observed packet size is 82 bytes and the packet length field is 40.
- The observed ASDU address is 1617.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 2.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","In the IEC-104 network event (evt_017606, eon_iec dataset), an information transfer frame was observed between source identifier 783 and destination identifier 38 at timestamp 1654646412418 ms. The source port was 2405, while the destination port was 51742. The packet size was 82 bytes, with a packet length field of 40. The ASDU address was 1617, and the ASDU type was 36, containing 2 items. The COT (Communication Object Type) was 3. However, the protocol hint is unknown, as well as the communication direction and observation pattern, which are labeled as UNKNOWN_NON_IEC104 according to the proxy formal class status. It should be noted that this formal class is a proxy observation label, not a confirmed attack label. The observed features do not provide sufficient evidence for a security conclusion regarding the nature of this network event.",,,,
ER-032,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 38 communicated with destination identifier 583.
- The observed source port is 51845 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The network observation labeled as evt_004198 within eon_iec dataset, timestamped at 1654646405509 and classified under Formal Bound version 2.1 with a proxy schema status, presents an intriguing case for analysis due to its unknown protocol hint and communication direction alongside the u_format_control frame type observed in atomic row granularity. Source identifier 38 engaged with destination identifier 583 over ports 51845 (source) and 2405 (destination), transmitting a packet of size 46 bytes, as indicated by pkt_length field value of 4. The ASDU address is noted to be zero across all fields: type, COT, items—all reflecting the absence of data within these parameters for this specific event instance.


The formal class assigned to this observation stands at UNKNOWN_NON_IEC104; however, it's crucial to recognize that such a label represents only an interim proxy classification rather than definitive evidence of malicious activity or network anomalies within the IEC-104 protocol context. Given these observations and without additional information beyond this single timestamped event, no further security conclusions can be drawn regarding potential threats like replay attacks, flooding, MITM strategies, command injections, scanning activities, denial of service incidents, or the necessity for immediate mitigation actions such as isolating network segments.


As per current formal class status and available data within this observation's scope, no confirmed normalcy nor malicious intent can be asserted beyond what is explicitly stated in these parameters alone.",,,,
ER-033,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 435 communicated with destination identifier 434.
- The observed source port is 2404 and the observed destination port is 49820.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 220.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646405932, source identifier 435 communicated with destination identifier 434 over the iec104 protocol in server_to_client direction. The observed frame type was i_format_information_transfer and the dominant observation pattern was dominant_iec104_measurement_pattern. The proxy formal class for this event is IEC104_BASELINE_MEASUREMENT_OBSERVATION, which should be treated as a label indicating the presence of an IEC-104 baseline measurement observation, rather than a confirmed attack label. The observed features include source port 2404 and destination port 49820, packet size 67 bytes and length field 25, ASDU address 220, type 36, COT 3, and item count 1.",,,,
ER-034,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is s_or_u_format_control.
- Source identifier 38 communicated with destination identifier 791.
- The observed source port is 51750 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","In the IEC-104 network event with ID 'evt_012433' and timestamp 1654646410975, an unidentified protocol was used for communication between source identifier 38 and destination identifier 791. The observed frame type was s_or_u_format_control, and the packet size was 46 bytes with a packet length field of 4. The source port was 51750, while the destination port was 2405. However, no ASDU data was present in this communication as indicated by the ASDU address, type, COT, and item count all being 0.

It is important to note that the formal class of this observation is UNKNOWN_NON_IEC104, which serves as a proxy label and does not confirm any specific attack or malicious activity. The observation pattern was unknown_or_non_iec104_pattern, indicating that it did not conform to the expected IEC-104 communication pattern. Further investigation is required to determine the nature of this network event and its potential impact on the industrial control system.",,,,
ER-035,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is i_format_information_transfer.
- Source identifier 761 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51726.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 1912.
- The observed ASDU type is 33, COT is 3, and ASDU item count is 1.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646407350, source identifier 761 communicated with destination identifier 38 over an unknown protocol hint and communication direction. The observed frame type was i_format_information_transfer. The packet size was 67 bytes, with a packet length field of 25. The ASDU address was 1912, the ASDU type was 33, COT was 3, and ASDU item count was 1. The source port was 2405 and destination port was 51726. The current formal class is UNKNOWN_NON_IEC104, which is a proxy observation label and not a confirmed attack label.",,,,
ER-036,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is s_or_u_format_control.
- Source identifier 38 communicated with destination identifier 761.
- The observed source port is 51726 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The network observation identified by Event ID evt_012500 within dataset eon_iec, timestamped at 1654646411006 and classified under Formal Bound version 2.1 with a proxy schema status, presents an anomaly in the IEC-104 network communication pattern between source identifier 38 and destination identifier 761. The observed packet size is consistent at 46 bytes across all packets within this event series, which aligns with standardized ASDU fields for control frames as per s_or_u_format_control specifications. However, the formal class label UNKNOWN_NON_IEC104 indicates that while there are deviations from expected IEC-104 communication patterns—as suggested by an unknown protocol hint and direction of traffic—the observed data does not provide sufficient evidence to confirm a security incident or malicious intent. The absence of ASDU address, COT value, and item count further complicates the attribution without additional contextual information from official automata schemas for IEC-104 communication patterns within this industrial control system network event.",,,,
ER-037,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 130 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 51574.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 27.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646404722, an IEC-104 protocol hint was observed in server-to-client communication direction. The source identifier 130 communicated with destination identifier 1 using ports 2404 and 51574, respectively. The packet size was 79 bytes, with a packet length field of 25. The ASDU address was 27, type was 36, COT was 3, and item count was 1. The observed frame type was i_format_information_transfer, and the dominant observation pattern was dominant_iec104_measurement_pattern. The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION, which should not be considered a confirmed attack label.",,,,
ER-038,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 312 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 48874.
- The observed packet size is 62 bytes and the packet length field is 20.
- The observed ASDU address is 61.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646406529, source identifier 312 communicated with destination identifier 1 over an iec104 protocol hint in server_to_client direction. The observed frame type was i_format_information_transfer and followed the iec104_information_transfer_pattern. The communication involved a packet size of 62 bytes and a packet length field of 20. The ASDU address was 61, ASDU type was 103 with COT 7, and ASDU item count was 1. The observed source port was 2404 and the observed destination port was 48874. The current formal class is IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy observation label and not a confirmed attack label.",,,,
ER-039,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 262 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 46820.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 225.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646412931, server identifier 262 communicated with client identifier 1 over an iec104 protocol hint in a server_to_client communication direction. The observed frame type was i_format_information_transfer and the dominant observation pattern was dominant_iec104_measurement_pattern. The source port was 2404 and the destination port was 46820. The packet size was 79 bytes with a length field of 25. The ASDU address was 225, COT was 3, and item count was 1, with an ASDU type of 36. This observation is labeled as IEC104_BASELINE_MEASUREMENT_OBSERVATION, which is currently a proxy formal class and not a confirmed attack label.",,,,
ER-040,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is i_format_information_transfer.
- Source identifier 864 communicated with destination identifier 8.
- The observed source port is 2405 and the observed destination port is 42320.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 431.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The formally bounded network observation identified by Event ID evt_019266 within eon_iec dataset, at granularity atomic_row and timestamped as 1654646412833 using Formal Bound version 2.1 with a proxy schema status of UNKNO0UNTI

Upon analysis, the source identifier (source_id) is marked as '864', while communicating to destination identifier ('8') through an unspecified protocol hint and communication direction within this formal bound framework. The packet size observed was 79 bytes with a length field of 25; these details align precisely with ASDU address, type (36), COT value (3), and item count (1) as per the schema status provided in proxy_until_official_automaton_schema format.

The formal class label assigned to this observation is UNKNOWN_NON_IEC104; it indicates that while there are non-conformities with IEC 104 standards, these do not necessarily equate to a confirmed cyber attack or malicious intent within the bounds of our current schema. This label serves as an interim proxy observation until further ground truth can be established through additional analysis and verification against official ICS network protocols such as IEC-104.

Given that this formal class is not a confirmed security conclusion, no mitigation actions or causal explanations are suggested at this juncture within the bounds of our current observation framework.",,,,
ER-041,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 38 communicated with destination identifier 304.
- The observed source port is 54114 and the observed destination port is 2404.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1003.
- The observed ASDU type is 50, COT is 6, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","The IEC104_OBSERVATION_UNCLASSIFIED label indicates that, based on event ID evt_011073 within dataset eon_iec at granularity atomic_row and timestamped as 1654646407429 using formal bound version 2.1 with the proxy schema status in place until an official automaton schema is established, a client-to-server communication event occurred via IEC protocol hint iec104. The source identifier marked by ID 38 engaged in data transfer to destination identifier 304 through ports 54114 and 2404 respectively. This exchange involved an i_format_information_transfer frame type, with a packet size of 60 bytes where the length field was noted as 18. The ASDU address observed is 1003; associated fields include COT value 6, one item count (ASDU items), and Type 50 indicating an analog input status report from substation to control system within a single timestamped event without any additional context provided for causality or malicious intent. The formal class label does not confirm this as attack traffic but rather serves as a proxy observation pending further analysis against the official automaton schema, with no mitigation actions implied in the current bound information.",,,,
ER-042,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 204 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 47192.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 19.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646412332, source identifier 204 communicated with destination identifier 1 over the iec104 protocol in server_to_client direction. The observed frame type was i_format_information_transfer and the dominant observation pattern was dominant_iec104_measurement_pattern. The proxy formal class assigned to this event is IEC104_BASELINE_MEASUREMENT_OBSERVATION, which should be treated as a label indicating the presence of baseline measurement traffic rather than a confirmed attack label. The observed features include source port 2404, destination port 47192, packet size 67 bytes and length field 25, ASDU address 19, type 36, COT 3, and item count 1.",,,,
ER-043,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 365 communicated with destination identifier 366.
- The observed source port is 2404 and the observed destination port is 56358.
- The observed packet size is 94 bytes and the packet length field is 25.
- The observed ASDU address is 35.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","At timestamp 1654646411905, an IEC-104 network event (evt_015637) was observed in the eon_iec dataset. The event followed the dominant_iec104_measurement_pattern and was classified as a proxy observation under the IEC104_BASELINE_MEASUREMENT_OBSERVATION formal class, which does not confirm an attack label. The observed communication direction was server-to-client between source identifier 365 and destination identifier 366. The source port was 2404, and the destination port was 56358. The packet size was 94 bytes, with a packet length field of 25. The ASDU address was 35, the ASDU type was 36, the COT was 3, and there was one ASDU item in the frame. This event is consistent with the IEC-104 protocol hint and observed ASDU fields, but it does not confirm any specific cyber attack or malicious activity.",,,,
ER-044,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 38 communicated with destination identifier 37.
- The observed source port is 51770 and the observed destination port is 2404.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1001.
- The observed ASDU type is 50, COT is 6, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","At timestamp 1654646405882, an IEC-104 information transfer event (event ID: evt_005652) occurred within the eon_iec dataset. The observed communication was from source identifier 38 to destination identifier 37, using ports 51770 and 2404 respectively. The packet size was 60 bytes, with a packet length field of 18.

The frame type was i_format_information_transfer, and the observed ASDU fields were as follows: address 1001, type 50, COT 6, and item count 1. This event conforms to the iec104_information_transfer_pattern. However, it is important to note that the formal class assigned to this observation, IEC104_OBSERVATION_UNCLASSIFIED, is a proxy label and does not confirm or deny any malicious intent. Without additional context or evidence, no security conclusions can be drawn from this observation alone.",,,,
ER-045,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is s_or_u_format_control.
- Source identifier 8 communicated with destination identifier 864.
- The observed source port is 42320 and the observed destination port is 2405.
- The observed packet size is 58 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","In the IEC-104 network event with Event ID 'evt_015283' and Timestamp '1654646411801', an unidentified protocol was used in a communication between source identifier 8 and destination identifier 864. The observed frame type was s_or_u_format_control, and the packet size was 58 bytes with a packet length field of 4. The source port was 42320, and the destination port was 2405. However, no ASDU data was present in this communication as indicated by the ASDU address, COT, and item count all being 0. It is important to note that the formal class assigned to this event is UNKNOWN_NON_IEC104, which is a proxy observation label and not a confirmed attack label. The observation pattern was unknown or non-IEC104, indicating an unusual communication behavior within the network. Without further context or additional information, it is not possible to confirm whether this event represents normal or abnormal traffic.",,,,
ER-046,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 388 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 35346.
- The observed packet size is 62 bytes and the packet length field is 20.
- The observed ASDU address is 22.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","The IEC104 protocol hint indicates a server_to_client communication direction, with source identifier 388 sending data to destination identifier 1 via ports 2404 and 35346 respectively. The packet size is recorded at 62 bytes over the length field of 20 within an atomic row granularity in dataset eon_iec under formal bound version 2.1, using a proxy until official schema validation for IEC-104 communication patterns. Notably, this event falls into the unclassified category as per its current classification status and is not yet confirmed to be associated with any specific attack type or malicious intent based on available evidence within the formal bound itself. The ASDU address of 22, along with a single item count (1) for an IEC-104 information transfer pattern under observation class IEC104_OBSERVATION_UNCLASSIFIED suggests that this event is still pending further analysis to be grounded as either normal or malicious activity.",,,,
ER-047,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 188 communicated with destination identifier 10.
- The observed source port is 2404 and the observed destination port is 46402.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 304.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","The IEC104 network observation, identified by Event ID evt_013387 within dataset eon_iec at granularity atomic_row and timestamped as 1654646411302 using Formal Bound version 2.1 under the schema proxy_until_official_automaton_schema, indicates a communication event between source identifier 188 and destination identifier 10 via server-to0client direction with an observed packet size of 67 bytes (pkt_length: 25). The IEC protocol hint iec104 is confirmed in this transmission. Notably, the frame type i_format_information_transfer aligns with expected behavior for a baseline measurement observation within industrial control systems using IEC-104 communication standards. It's important to highlight that while source port 2404 and destination port 46402 are involved in this transmission, the formal class label assigned as IEC104_BASELINE_MEASUREMENT_OBSERVATION is a proxy observation rather than an indication of confirmed malicious activity. The ASDU address observed was 304 with type 36 and COT value 3 for one item (asdu_items: 1). This information, consistent with the IEC-104 protocol hint provided in the formal bound, suggests a standard operational pattern rather than an anomaly. As such, no immediate security conclusions can be drawn from this observation alone without further context or evidence of malicious intent beyond what is explicitly stated within the formal bounds observed at timestamp 1654646411302.",,,,
ER-048,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 38 communicated with destination identifier 37.
- The observed source port is 51770 and the observed destination port is 2404.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1001.
- The observed ASDU type is 50, COT is 6, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646404866, source identifier 38 communicated with destination identifier 37 over an iec104 protocol hint in client_to_server direction. The observed frame type was i_format_information_transfer and followed the iec104_information_transfer_pattern. The communication involved a packet size of 60 bytes and a packet length field of 18. The ASDU address was 1001, with an ASDU type of 50, COT of 6, and ASDU item count of 1. The current formal class is IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy observation label and not a confirmed attack label.",,,,
